time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-04 00:00:00+00:00,,,55,2
2024-07-05 00:00:00+00:00,2.0,2.0,54,4
2024-07-06 00:00:00+00:00,2.0,2.0,54,2
2024-07-07 00:00:00+00:00,,,5,3
2024-07-08 00:00:00+00:00,,,177,5
2024-07-09 00:00:00+00:00,,,27,8
2024-07-10 00:00:00+00:00,1.0,1.0,218,7
2024-07-11 00:00:00+00:00,,,36,4
2024-07-12 00:00:00+00:00,,,28,3
2024-07-13 00:00:00+00:00,1.0,1.0,12,1
2024-07-14 00:00:00+00:00,,,137,4
2024-07-15 00:00:00+00:00,1.0,1.0,40,6
2024-07-16 00:00:00+00:00,1.0,1.0,25,3
2024-07-17 00:00:00+00:00,,,5,4
2024-07-18 00:00:00+00:00,,,6,1
