time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-12 00:00:00+00:00,27,8,,
2023-12-13 00:00:00+00:00,26,15,9.0,1.0
2023-12-14 00:00:00+00:00,36,15,,
2023-12-15 00:00:00+00:00,17,14,4.0,2.0
2023-12-16 00:00:00+00:00,12,10,,
2023-12-17 00:00:00+00:00,20,12,8.0,2.0
2023-12-18 00:00:00+00:00,31,17,29.0,3.0
2023-12-19 00:00:00+00:00,32,14,6.0,4.0
2023-12-20 00:00:00+00:00,29,17,,
2023-12-21 00:00:00+00:00,38,21,,
2023-12-22 00:00:00+00:00,28,16,,
2023-12-23 00:00:00+00:00,11,10,,
2023-12-24 00:00:00+00:00,18,11,,
2023-12-25 00:00:00+00:00,17,11,5.0,2.0
2023-12-26 00:00:00+00:00,7,6,1.0,1.0
