time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-20 00:00:00+00:00,,,1.0,1.0
2024-08-21 00:00:00+00:00,,,6.0,4.0
2024-08-23 00:00:00+00:00,1.0,1.0,58.0,3.0
2024-08-24 00:00:00+00:00,2.0,2.0,,
2024-08-25 00:00:00+00:00,1.0,1.0,,
2024-08-26 00:00:00+00:00,4.0,4.0,,
2024-08-27 00:00:00+00:00,7.0,7.0,11.0,2.0
2024-08-28 00:00:00+00:00,2.0,2.0,4.0,4.0
2024-08-29 00:00:00+00:00,1.0,1.0,31.0,1.0
2024-08-30 00:00:00+00:00,,,2.0,1.0
2024-08-31 00:00:00+00:00,2.0,2.0,157.0,63.0
2024-09-01 00:00:00+00:00,2.0,2.0,162.0,78.0
2024-09-02 00:00:00+00:00,3.0,3.0,166.0,60.0
2024-09-03 00:00:00+00:00,,,227.0,63.0
