time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-08 00:00:00+00:00,23,12,1.0,1.0
2023-03-09 00:00:00+00:00,27,13,,
2023-03-10 00:00:00+00:00,16,15,3.0,2.0
2023-03-11 00:00:00+00:00,12,10,,
2023-03-12 00:00:00+00:00,13,10,3.0,1.0
2023-03-13 00:00:00+00:00,33,18,18.0,7.0
2023-03-14 00:00:00+00:00,42,20,9.0,7.0
2023-03-15 00:00:00+00:00,41,25,5.0,5.0
2023-03-16 00:00:00+00:00,45,15,6.0,6.0
2023-03-17 00:00:00+00:00,24,22,1.0,1.0
2023-03-18 00:00:00+00:00,12,10,,
2023-03-19 00:00:00+00:00,13,9,2.0,1.0
2023-03-20 00:00:00+00:00,24,21,18.0,2.0
2023-03-21 00:00:00+00:00,39,19,7.0,5.0
2023-03-22 00:00:00+00:00,9,7,7.0,1.0
