time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-15 00:00:00+00:00,6,4,1.0,1.0
2022-05-16 00:00:00+00:00,5,3,,
2022-05-17 00:00:00+00:00,8,3,,
2022-05-18 00:00:00+00:00,4,3,,
2022-05-19 00:00:00+00:00,7,6,,
2022-05-20 00:00:00+00:00,8,5,1.0,1.0
2022-05-22 00:00:00+00:00,2,1,,
2022-05-23 00:00:00+00:00,4,3,2.0,1.0
2022-05-24 00:00:00+00:00,8,4,,
2022-05-25 00:00:00+00:00,6,3,,
2022-05-26 00:00:00+00:00,17,7,2.0,1.0
2022-05-27 00:00:00+00:00,10,6,3.0,2.0
2022-05-28 00:00:00+00:00,8,3,,
2022-05-29 00:00:00+00:00,1,1,,
