time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-18 00:00:00+00:00,33,22,52.0,1.0
2022-01-19 00:00:00+00:00,29,20,4.0,2.0
2022-01-20 00:00:00+00:00,51,29,,
2022-01-21 00:00:00+00:00,32,21,50.0,1.0
2022-01-22 00:00:00+00:00,18,12,,
2022-01-23 00:00:00+00:00,9,9,,
2022-01-24 00:00:00+00:00,39,23,,
2022-01-25 00:00:00+00:00,54,30,,
2022-01-26 00:00:00+00:00,56,29,,
2022-01-27 00:00:00+00:00,78,34,1.0,1.0
2022-01-28 00:00:00+00:00,27,19,,
2022-01-29 00:00:00+00:00,10,10,,
2022-01-30 00:00:00+00:00,12,9,,
2022-01-31 00:00:00+00:00,32,23,,
2022-02-01 00:00:00+00:00,4,4,,
