time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-25 00:00:00+00:00,33,21,,
2022-01-26 00:00:00+00:00,56,29,,
2022-01-27 00:00:00+00:00,78,34,1.0,1.0
2022-01-28 00:00:00+00:00,27,19,,
2022-01-29 00:00:00+00:00,10,10,,
2022-01-30 00:00:00+00:00,12,9,,
2022-01-31 00:00:00+00:00,32,23,,
2022-02-01 00:00:00+00:00,34,21,1.0,1.0
2022-02-02 00:00:00+00:00,60,30,3.0,3.0
2022-02-03 00:00:00+00:00,59,29,11.0,3.0
2022-02-04 00:00:00+00:00,63,29,15.0,3.0
2022-02-05 00:00:00+00:00,16,15,,
2022-02-06 00:00:00+00:00,8,6,,
2022-02-07 00:00:00+00:00,40,25,3.0,2.0
