time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-06 00:00:00+00:00,14.0,7.0,2.0,2.0
2023-03-07 00:00:00+00:00,19.0,7.0,7.0,4.0
2023-03-08 00:00:00+00:00,2.0,1.0,1.0,1.0
2023-03-09 00:00:00+00:00,2.0,2.0,11.0,1.0
2023-03-10 00:00:00+00:00,,,2.0,1.0
2023-03-13 00:00:00+00:00,16.0,5.0,,
2023-03-14 00:00:00+00:00,1.0,1.0,2.0,2.0
2023-03-15 00:00:00+00:00,8.0,5.0,4.0,1.0
2023-03-16 00:00:00+00:00,6.0,2.0,22.0,2.0
2023-03-17 00:00:00+00:00,2.0,1.0,14.0,3.0
2023-03-18 00:00:00+00:00,,,1.0,1.0
