time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-22 00:00:00+00:00,37.0,4.0,34.0,5.0
2023-06-23 00:00:00+00:00,52.0,4.0,22.0,3.0
2023-06-24 00:00:00+00:00,1.0,1.0,,
2023-06-25 00:00:00+00:00,,,1.0,1.0
2023-06-26 00:00:00+00:00,30.0,6.0,14.0,4.0
2023-06-27 00:00:00+00:00,39.0,4.0,24.0,3.0
2023-06-28 00:00:00+00:00,26.0,7.0,1.0,1.0
2023-06-29 00:00:00+00:00,44.0,6.0,4.0,3.0
2023-06-30 00:00:00+00:00,3.0,2.0,,
2023-07-01 00:00:00+00:00,1.0,1.0,,
2023-07-03 00:00:00+00:00,79.0,5.0,1.0,1.0
2023-07-04 00:00:00+00:00,5.0,3.0,32.0,1.0
2023-07-05 00:00:00+00:00,28.0,6.0,,
2023-07-06 00:00:00+00:00,35.0,4.0,,
