time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-08 00:00:00+00:00,4.0,4.0,2.0,1.0
2023-12-09 00:00:00+00:00,4.0,4.0,6.0,1.0
2023-12-10 00:00:00+00:00,,,11.0,5.0
2023-12-11 00:00:00+00:00,3.0,3.0,51.0,3.0
2023-12-12 00:00:00+00:00,4.0,4.0,20.0,3.0
2023-12-13 00:00:00+00:00,2.0,2.0,13.0,6.0
2023-12-14 00:00:00+00:00,7.0,5.0,36.0,5.0
2023-12-15 00:00:00+00:00,,,6.0,4.0
2023-12-16 00:00:00+00:00,1.0,1.0,8.0,2.0
2023-12-17 00:00:00+00:00,,,3.0,2.0
2023-12-18 00:00:00+00:00,8.0,8.0,30.0,4.0
2023-12-19 00:00:00+00:00,3.0,3.0,129.0,2.0
2023-12-20 00:00:00+00:00,6.0,6.0,143.0,3.0
2023-12-21 00:00:00+00:00,,,28.0,7.0
2023-12-22 00:00:00+00:00,4.0,4.0,,
