time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-28 00:00:00+00:00,1.0,1.0,,
2023-10-29 00:00:00+00:00,,,2.0,1.0
2023-10-30 00:00:00+00:00,3.0,3.0,1.0,1.0
2023-10-31 00:00:00+00:00,,,47.0,2.0
2023-11-01 00:00:00+00:00,2.0,2.0,3.0,2.0
2023-11-02 00:00:00+00:00,3.0,2.0,6.0,2.0
2023-11-03 00:00:00+00:00,,,55.0,5.0
2023-11-05 00:00:00+00:00,2.0,2.0,9.0,1.0
2023-11-06 00:00:00+00:00,1.0,1.0,28.0,3.0
2023-11-07 00:00:00+00:00,5.0,5.0,35.0,3.0
2023-11-08 00:00:00+00:00,5.0,4.0,8.0,3.0
2023-11-09 00:00:00+00:00,6.0,6.0,37.0,7.0
2023-11-10 00:00:00+00:00,4.0,4.0,116.0,5.0
