time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-05 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-07-06 00:00:00+00:00,2.0,2.0,,
2024-07-07 00:00:00+00:00,6.0,2.0,1.0,1.0
2024-07-08 00:00:00+00:00,1.0,1.0,20.0,3.0
2024-07-09 00:00:00+00:00,4.0,3.0,13.0,6.0
2024-07-10 00:00:00+00:00,5.0,2.0,17.0,4.0
2024-07-11 00:00:00+00:00,4.0,3.0,30.0,4.0
2024-07-12 00:00:00+00:00,4.0,3.0,7.0,5.0
2024-07-13 00:00:00+00:00,5.0,2.0,,
2024-07-15 00:00:00+00:00,2.0,2.0,6.0,1.0
2024-07-16 00:00:00+00:00,1.0,1.0,,
2024-07-17 00:00:00+00:00,9.0,7.0,11.0,3.0
2024-07-18 00:00:00+00:00,,,15.0,4.0
