time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-02 00:00:00+00:00,13.0,9.0,,
2025-08-03 00:00:00+00:00,33.0,13.0,45.0,1.0
2025-08-04 00:00:00+00:00,27.0,14.0,19.0,2.0
2025-08-05 00:00:00+00:00,60.0,28.0,34.0,4.0
2025-08-06 00:00:00+00:00,42.0,20.0,19.0,4.0
2025-08-07 00:00:00+00:00,40.0,18.0,21.0,2.0
2025-08-08 00:00:00+00:00,23.0,14.0,100.0,3.0
2025-08-09 00:00:00+00:00,38.0,15.0,7.0,2.0
2025-08-10 00:00:00+00:00,15.0,11.0,,
2025-08-11 00:00:00+00:00,39.0,21.0,62.0,5.0
2025-08-12 00:00:00+00:00,41.0,19.0,5.0,4.0
2025-08-13 00:00:00+00:00,45.0,19.0,31.0,4.0
2025-08-14 00:00:00+00:00,2.0,2.0,11.0,4.0
2025-08-15 00:00:00+00:00,,,4.0,2.0
