time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-15 00:00:00+00:00,1.0,1.0,26.0,5.0
2022-08-16 00:00:00+00:00,3.0,2.0,20.0,4.0
2022-08-17 00:00:00+00:00,5.0,3.0,19.0,5.0
2022-08-18 00:00:00+00:00,6.0,4.0,86.0,6.0
2022-08-19 00:00:00+00:00,,,11.0,6.0
2022-08-22 00:00:00+00:00,1.0,1.0,28.0,4.0
2022-08-23 00:00:00+00:00,,,26.0,5.0
2022-08-24 00:00:00+00:00,,,18.0,7.0
2022-08-25 00:00:00+00:00,2.0,1.0,3.0,3.0
2022-08-26 00:00:00+00:00,,,1.0,1.0
2022-08-27 00:00:00+00:00,1.0,1.0,,
