time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,13,8,46.0,7.0
2025-03-04 00:00:00+00:00,4,2,8.0,1.0
2025-03-05 00:00:00+00:00,8,4,43.0,4.0
2025-03-06 00:00:00+00:00,2,2,17.0,5.0
2025-03-07 00:00:00+00:00,1,1,,
2025-03-08 00:00:00+00:00,6,6,,
2025-03-09 00:00:00+00:00,4,4,,
2025-03-10 00:00:00+00:00,1,1,12.0,3.0
2025-03-11 00:00:00+00:00,3,3,29.0,3.0
2025-03-12 00:00:00+00:00,2,1,64.0,6.0
2025-03-13 00:00:00+00:00,1,1,51.0,4.0
2025-03-14 00:00:00+00:00,4,3,67.0,2.0
2025-03-15 00:00:00+00:00,2,2,1.0,1.0
2025-03-16 00:00:00+00:00,3,3,,
