time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-14 00:00:00+00:00,1.0,1.0,24.0,2.0
2022-10-15 00:00:00+00:00,9.0,4.0,13.0,3.0
2022-10-16 00:00:00+00:00,1.0,1.0,,
2022-10-17 00:00:00+00:00,,,35.0,3.0
2022-10-18 00:00:00+00:00,2.0,1.0,6.0,2.0
2022-10-19 00:00:00+00:00,1.0,1.0,14.0,6.0
2022-10-20 00:00:00+00:00,2.0,2.0,32.0,2.0
2022-10-21 00:00:00+00:00,1.0,1.0,,
2022-10-22 00:00:00+00:00,5.0,3.0,1.0,1.0
2022-10-24 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-10-25 00:00:00+00:00,1.0,1.0,14.0,3.0
2022-10-26 00:00:00+00:00,,,11.0,4.0
