time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-11 00:00:00+00:00,1.0,1.0,,
2024-05-12 00:00:00+00:00,,,1.0,1.0
2024-05-13 00:00:00+00:00,,,13.0,3.0
2024-05-14 00:00:00+00:00,,,3.0,3.0
2024-05-15 00:00:00+00:00,7.0,4.0,82.0,4.0
2024-05-16 00:00:00+00:00,2.0,1.0,58.0,4.0
2024-05-17 00:00:00+00:00,1.0,1.0,3.0,2.0
2024-05-18 00:00:00+00:00,,,3.0,2.0
2024-05-20 00:00:00+00:00,,,7.0,4.0
2024-05-22 00:00:00+00:00,2.0,1.0,8.0,3.0
2024-05-23 00:00:00+00:00,,,12.0,3.0
2024-05-24 00:00:00+00:00,,,19.0,3.0
