time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,34,5,2.0,2.0
2025-02-13 00:00:00+00:00,51,7,1.0,1.0
2025-02-14 00:00:00+00:00,57,11,25.0,2.0
2025-02-15 00:00:00+00:00,17,5,6.0,4.0
2025-02-16 00:00:00+00:00,10,6,,
2025-02-17 00:00:00+00:00,16,4,2.0,1.0
2025-02-18 00:00:00+00:00,23,3,39.0,3.0
2025-02-19 00:00:00+00:00,40,3,3.0,3.0
2025-02-20 00:00:00+00:00,40,6,2.0,2.0
2025-02-21 00:00:00+00:00,34,2,4.0,1.0
2025-02-22 00:00:00+00:00,7,2,,
2025-02-23 00:00:00+00:00,3,1,,
2025-02-24 00:00:00+00:00,4,3,,
2025-02-25 00:00:00+00:00,43,3,2.0,1.0
