time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-20 00:00:00+00:00,2.0,1.0,6.0,2.0
2024-07-21 00:00:00+00:00,1.0,1.0,,
2024-07-22 00:00:00+00:00,5.0,3.0,15.0,3.0
2024-07-23 00:00:00+00:00,,,9.0,1.0
2024-07-24 00:00:00+00:00,,,10.0,2.0
2024-07-25 00:00:00+00:00,2.0,2.0,23.0,2.0
2024-07-27 00:00:00+00:00,1.0,1.0,,
2024-07-28 00:00:00+00:00,1.0,1.0,10.0,1.0
2024-07-29 00:00:00+00:00,1.0,1.0,,
2024-07-30 00:00:00+00:00,4.0,1.0,32.0,4.0
2024-07-31 00:00:00+00:00,,,36.0,4.0
2024-08-01 00:00:00+00:00,4.0,3.0,19.0,4.0
2024-08-02 00:00:00+00:00,,,1.0,1.0
