time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-09 00:00:00+00:00,39,1,1.0,1.0
2023-11-10 00:00:00+00:00,20,3,2.0,1.0
2023-11-11 00:00:00+00:00,12,2,,
2023-11-12 00:00:00+00:00,14,3,1.0,1.0
2023-11-13 00:00:00+00:00,20,4,1.0,1.0
2023-11-14 00:00:00+00:00,25,3,,
2023-11-15 00:00:00+00:00,24,4,1.0,1.0
2023-11-16 00:00:00+00:00,28,3,1.0,1.0
2023-11-17 00:00:00+00:00,17,1,5.0,1.0
2023-11-18 00:00:00+00:00,10,2,,
2023-11-19 00:00:00+00:00,21,4,8.0,2.0
2023-11-20 00:00:00+00:00,37,4,4.0,2.0
2023-11-21 00:00:00+00:00,20,1,15.0,2.0
2023-11-22 00:00:00+00:00,36,3,6.0,4.0
